//X Y Z C2M_signed_distances[<5] R G B
0.28199083 0.01498645 -0.00369129 0.001041 255 172 51
0.28376940 0.01293087 -0.00685340 0.002577 255 172 51
0.28310841 0.01449585 -0.00531478 0.002100 255 172 51
0.27963102 0.01689721 -0.00171497 -0.001055 255 172 51
0.28054941 0.01203124 -0.00213719 -0.000782 255 172 51
0.28287908 0.01228374 -0.00460120 0.001591 255 172 51
0.18702142 0.02757958 -0.05043483 0.001292 255 172 51
0.18671757 0.02741349 -0.05041210 0.001147 255 172 51
0.18691000 0.02757469 -0.05033934 0.001334 255 172 51
0.18697120 0.02748331 -0.05028835 0.001313 255 172 51
0.18705188 0.02696045 -0.05012443 0.001128 255 172 51
0.18711977 0.02748577 -0.05032804 0.001298 255 172 51
0.18717042 0.02757894 -0.05040889 0.001314 255 172 51
0.18732765 0.02742822 -0.05058075 0.001094 255 172 51
0.06932097 0.02541864 -0.06895646 0.000767 255 172 51
0.07043231 0.02580938 -0.06884274 0.000687 255 172 51
0.07019073 0.02504477 -0.06900329 0.000812 255 172 51
0.06957290 0.02645757 -0.06860413 0.000485 255 172 51
0.07087891 0.02529242 -0.06893225 0.000762 255 172 51
0.06908505 0.02415300 -0.06911425 0.000856 255 172 51
0.06825397 0.02577036 -0.06885768 0.000654 255 172 51
0.07109088 0.02656195 -0.06855471 0.000472 255 172 51
0.07126211 0.02424423 -0.06897320 0.000769 255 172 51
0.07173827 0.02577238 -0.06875576 0.000622 255 172 51
0.06841559 0.02505737 -0.06905945 0.000823 255 172 51
0.06805935 0.02651112 -0.06854055 0.000412 255 172 51
0.07112167 0.02772690 -0.06806988 0.000111 255 172 51
0.06779309 0.02456828 -0.06913929 0.000851 255 172 51
0.06991770 0.02245920 -0.06911065 0.000821 255 172 51
0.06756110 0.02521984 -0.06901754 0.000756 255 172 51
0.06666473 0.02585587 -0.06874621 0.000512 255 172 51
0.06889113 0.02734228 -0.06819930 0.000190 255 172 51
0.07274049 0.02687284 -0.06836484 0.000347 255 172 51
0.07304366 0.02508541 -0.06877761 0.000651 255 172 51
0.06712999 0.02355240 -0.06921717 0.000868 255 172 51
0.06836841 0.02264597 -0.06919827 0.000869 255 172 51
0.07187517 0.02204958 -0.06901111 0.000774 255 172 51
0.06704691 0.02716980 -0.06821134 0.000146 255 172 51
0.07394189 0.02819568 -0.06781627 -0.000006 255 172 51
0.06946829 0.02816426 -0.06788994 -0.000006 255 172 51
0.07301114 0.02605390 -0.06862101 0.000545 255 172 51
0.07334255 0.02357312 -0.06887864 0.000707 255 172 51
0.06668194 0.02472212 -0.06909122 0.000771 255 172 51
0.06841450 0.02126057 -0.06919557 0.000854 255 172 51
0.07004731 0.02042531 -0.06911185 0.000813 255 172 51
0.06548265 0.02660550 -0.06837142 0.000169 255 172 51
0.06818402 0.02819674 -0.06788243 0.000001 255 172 51
0.07453840 0.02702881 -0.06820070 0.000242 255 172 51
0.07228712 0.02871744 -0.06771739 -0.000053 255 172 51
0.07052035 0.02860864 -0.06777479 -0.000043 255 172 51
0.07381417 0.02643798 -0.06846324 0.000434 255 172 51
0.07515578 0.02460383 -0.06864884 0.000583 255 172 51
0.07395652 0.02574719 -0.06861492 0.000554 255 172 51
0.06567624 0.02403993 -0.06919978 0.000815 255 172 51
0.06684412 0.02190657 -0.06926318 0.000884 255 172 51
0.07402847 0.02176337 -0.06892316 0.000750 255 172 51
0.07245553 0.01964912 -0.06903367 0.000798 255 172 51
0.06526851 0.02498169 -0.06901493 0.000642 255 172 51
0.06513339 0.02580317 -0.06871964 0.000412 255 172 51
0.06559746 0.02759514 -0.06798982 -0.000041 255 172 51
0.06665012 0.02821014 -0.06786140 -0.000047 255 172 51
0.07606870 0.02746055 -0.06791048 0.000062 255 172 51
0.07137183 0.02866281 -0.06775548 -0.000041 255 172 51
0.07326089 0.02936333 -0.06753679 -0.000097 255 172 51
0.06893195 0.02839684 -0.06780302 -0.000052 255 172 51
0.06920607 0.02901063 -0.06770148 -0.000034 255 172 51
0.07466549 0.02317453 -0.06882631 0.000700 255 172 51
0.06518061 0.02281438 -0.06929212 0.000875 255 172 51
0.06695198 0.02079411 -0.06925195 0.000864 255 172 51
0.06756102 0.01963614 -0.06920132 0.000828 255 172 51
0.06952462 0.01760746 -0.06912943 0.000813 255 172 51
0.06396370 0.02616675 -0.06853725 0.000242 255 172 51
0.06465709 0.02707465 -0.06812710 -0.000020 255 172 51
0.06727894 0.02939809 -0.06767361 0.000019 255 172 51
0.07594208 0.02864515 -0.06752461 -0.000159 255 172 51
0.07558246 0.02672845 -0.06821012 0.000284 255 172 51
0.07494820 0.02616650 -0.06842208 0.000423 255 172 51
0.07129632 0.02965779 -0.06756297 -0.000032 255 172 51
0.07504718 0.02963457 -0.06740385 -0.000134 255 172 51
0.07608239 0.02232780 -0.06877419 0.000700 255 172 51
0.06410849 0.02411169 -0.06920365 0.000772 255 172 51
0.06444875 0.02059746 -0.06931892 0.000865 255 172 51
0.07568006 0.01933936 -0.06894343 0.000810 255 172 51
0.07343154 0.01643662 -0.06907025 0.000856 255 172 51
0.06442147 0.02538043 -0.06888345 0.000513 255 172 51
0.06463379 0.02777681 -0.06788903 -0.000136 255 172 51
0.06532541 0.02881419 -0.06774049 -0.000055 255 172 51
0.07733817 0.02830368 -0.06754767 -0.000123 255 172 51
0.07668468 0.02603627 -0.06825913 0.000341 255 172 51
0.07327139 0.03072379 -0.06737515 0.000023 255 172 51
0.06883769 0.03100360 -0.06749371 0.000167 255 172 51
0.07858719 0.02393156 -0.06841856 0.000570 255 172 51
